host_since,neighbourhood,city,accommodates,price
12/3/2011,Buttes-Montmartre,Paris,2,53
11/29/2013,Buttes-Montmartre,Paris,2,120
7/31/2014,Elysee,Paris,2,89
12/17/2013,Vaugirard,Paris,2,58
12/14/2014,Passy,Paris,2,60
4/13/2011,Temple,Paris,2,95
8/9/2013,Popincourt,Paris,2,80
4/14/2013,Popincourt,Paris,2,59
6/14/2015,Buttes-Chaumont,Paris,2,80
9/2/2014,Opera,Paris,2,90
6/4/2015,Gobelins,Paris,2,60
8/13/2014,Hotel-de-Ville,Paris,2,80
7/17/2014,Pantheon,Paris,2,61
11/19/2013,Enclos-St-Laurent,Paris,2,145
12/30/2015,Elysee,Paris,2,35
5/31/2015,Popincourt,Paris,2,39
2/28/2015,Batignolles-Monceau,Paris,2,55
3/21/2016,Popincourt,Paris,2,55
4/23/2013,Enclos-St-Laurent,Paris,2,57
10/31/2014,Gobelins,Paris,2,55
5/30/2014,Batignolles-Monceau,Paris,2,51
11/18/2012,Opera,Paris,2,80
8/19/2014,Opera,Paris,2,70
1/12/2013,Luxembourg,Paris,2,90
1/6/2014,Temple,Paris,2,89
11/18/2013,Reuilly,Paris,2,42
10/22/2013,Batignolles-Monceau,Paris,2,35
6/11/2013,Enclos-St-Laurent,Paris,2,60
2/1/2013,Buttes-Montmartre,Paris,2,50
7/3/2014,Buttes-Montmartre,Paris,2,70
7/15/2015,Vaugirard,Paris,2,50
7/29/2016,Luxembourg,Paris,2,100
3/16/2015,Temple,Paris,2,109
3/19/2015,Gobelins,Paris,2,68
2/25/2015,Pantheon,Paris,2,75
10/18/2016,Vaugirard,Paris,2,65
1/5/2014,Opera,Paris,2,100
11/2/2016,Pantheon,Paris,2,40
1/11/2013,Passy,Paris,2,80
5/19/2014,Popincourt,Paris,2,109
2/15/2015,Popincourt,Paris,2,91
4/24/2015,Menilmontant,Paris,2,40
5/22/2012,Enclos-St-Laurent,Paris,2,60
3/23/2015,Buttes-Montmartre,Paris,2,60
8/6/2013,Popincourt,Paris,2,119
5/25/2014,Batignolles-Monceau,Paris,2,52
2/25/2013,Pantheon,Paris,2,70
6/9/2013,Popincourt,Paris,2,70
7/29/2015,Vaugirard,Paris,2,30
3/2/2014,Menilmontant,Paris,2,55
12/23/2014,Buttes-Montmartre,Paris,2,51
6/14/2017,Buttes-Montmartre,Paris,2,200
7/21/2016,Observatoire,Paris,2,50
2/15/2013,Popincourt,Paris,2,90
4/2/2016,Enclos-St-Laurent,Paris,2,59
9/21/2012,Enclos-St-Laurent,Paris,2,70
5/24/2017,Buttes-Montmartre,Paris,2,60
8/17/2014,Menilmontant,Paris,2,82
11/10/2015,Buttes-Chaumont,Paris,2,52
3/15/2016,Popincourt,Paris,2,50
12/18/2013,Buttes-Montmartre,Paris,2,50
5/28/2018,Popincourt,Paris,2,45
2/3/2015,Reuilly,Paris,2,90
8/11/2013,Opera,Paris,2,100
5/31/2014,Popincourt,Paris,2,50
12/6/2013,Enclos-St-Laurent,Paris,2,100
4/24/2015,Menilmontant,Paris,2,90
7/24/2016,Popincourt,Paris,2,110
5/19/2018,Batignolles-Monceau,Paris,2,90
8/10/2018,Batignolles-Monceau,Paris,2,90
7/9/2014,Palais-Bourbon,Paris,2,120
10/28/2015,Enclos-St-Laurent,Paris,2,120
3/23/2015,Batignolles-Monceau,Paris,2,110
8/9/2016,Reuilly,Paris,2,60
4/19/2018,Buttes-Montmartre,Paris,2,120
2/18/2019,Buttes-Montmartre,Paris,2,115
3/28/2016,Buttes-Montmartre,Paris,2,65
5/14/2012,Buttes-Montmartre,Paris,2,80
9/20/2015,Menilmontant,Paris,2,65
6/15/2018,Bourse,Paris,2,125
5/27/2014,Enclos-St-Laurent,Paris,2,52
12/1/2015,Temple,Paris,2,90
5/17/2013,Enclos-St-Laurent,Paris,2,80
9/30/2014,Enclos-St-Laurent,Paris,2,95
8/5/2013,Buttes-Montmartre,Paris,2,27
5/24/2013,Opera,Paris,2,120
1/31/2015,Passy,Paris,2,90
12/11/2017,Popincourt,Paris,2,95
9/21/2015,Opera,Paris,2,80
2/26/2015,Enclos-St-Laurent,Paris,2,130
8/1/2011,Enclos-St-Laurent,Paris,2,120
6/9/2019,Buttes-Montmartre,Paris,2,45
5/17/2018,Gobelins,Paris,2,30
5/26/2014,Observatoire,Paris,2,48
6/19/2017,Buttes-Montmartre,Paris,2,70
12/11/2013,Vaugirard,Paris,2,80
5/3/2016,Buttes-Montmartre,Paris,2,110
3/12/2015,Popincourt,Paris,2,120
4/2/2014,Popincourt,Paris,2,75
12/8/2019,Louvre,Paris,2,300
11/11/2012,Buttes-Montmartre,Paris,2,60
11/25/2014,Menilmontant,Paris,2,60
11/11/2015,Opera,Paris,2,99
12/8/2012,Popincourt,Paris,2,65
4/23/2015,Observatoire,Paris,2,56
3/20/2014,Buttes-Montmartre,Paris,2,79
6/30/2016,Vaugirard,Paris,2,60
2/2/2016,Batignolles-Monceau,Paris,2,80
11/14/2014,Louvre,Paris,2,95
10/26/2015,Reuilly,Paris,2,80
1/10/2016,Menilmontant,Paris,2,70
6/22/2014,Buttes-Montmartre,Paris,2,80
5/1/2015,Buttes-Montmartre,Paris,2,70
7/15/2014,Enclos-St-Laurent,Paris,2,130
12/2/2012,Palais-Bourbon,Paris,2,95
6/30/2015,Buttes-Montmartre,Paris,2,100
6/27/2015,Batignolles-Monceau,Paris,2,110
5/6/2012,Buttes-Montmartre,Paris,2,73
12/3/2013,Gobelins,Paris,2,166
6/3/2014,Vaugirard,Paris,2,76
8/16/2012,Vaugirard,Paris,2,47
8/4/2014,Reuilly,Paris,2,50
7/7/2013,Popincourt,Paris,2,110
3/22/2015,Buttes-Montmartre,Paris,2,55
4/5/2012,Enclos-St-Laurent,Paris,2,90
4/27/2014,Temple,Paris,2,50
10/2/2014,Reuilly,Paris,2,60
7/21/2012,Temple,Paris,2,280
3/26/2015,Elysee,Paris,2,75
5/3/2015,Opera,Paris,2,60
6/19/2014,Buttes-Montmartre,Paris,2,85
10/12/2011,Batignolles-Monceau,Paris,2,99
6/30/2015,Batignolles-Monceau,Paris,2,40
7/6/2015,Palais-Bourbon,Paris,2,99
7/23/2013,Vaugirard,Paris,2,89
8/5/2015,Passy,Paris,2,90
5/25/2013,Buttes-Montmartre,Paris,2,65
8/23/2015,Elysee,Paris,2,90
3/2/2014,Popincourt,Paris,2,75
9/10/2015,Buttes-Montmartre,Paris,2,35
7/19/2014,Gobelins,Paris,2,90
10/10/2013,Vaugirard,Paris,2,68
10/26/2013,Batignolles-Monceau,Paris,2,85
10/3/2013,Opera,Paris,2,55
8/15/2012,Temple,Paris,2,60
7/2/2014,Popincourt,Paris,2,38
10/13/2014,Opera,Paris,2,106
4/18/2013,Buttes-Chaumont,Paris,2,50
1/31/2014,Popincourt,Paris,2,90
5/21/2014,Batignolles-Monceau,Paris,2,110
2/4/2016,Vaugirard,Paris,2,80
4/18/2014,Buttes-Montmartre,Paris,2,104
3/15/2015,Buttes-Chaumont,Paris,2,165
12/6/2016,Vaugirard,Paris,2,55
7/6/2013,Batignolles-Monceau,Paris,2,70
5/31/2015,Temple,Paris,2,110
3/26/2016,Buttes-Montmartre,Paris,2,110
5/31/2017,Louvre,Paris,2,60
2/8/2013,Vaugirard,Paris,2,120
3/8/2013,Popincourt,Paris,2,70
5/6/2014,Menilmontant,Paris,2,50
6/29/2015,Buttes-Montmartre,Paris,2,70
12/14/2014,Vaugirard,Paris,2,75
3/30/2016,Buttes-Montmartre,Paris,2,80
7/11/2016,Passy,Paris,2,150
4/6/2015,Popincourt,Paris,2,100
9/24/2013,Luxembourg,Paris,2,85
2/21/2015,Buttes-Montmartre,Paris,2,90
3/2/2014,Bourse,Paris,2,70
4/16/2015,Vaugirard,Paris,2,72
11/4/2018,Observatoire,Paris,2,150
6/13/2014,Opera,Paris,2,65
7/21/2013,Batignolles-Monceau,Paris,2,75
4/9/2012,Popincourt,Paris,2,100
10/21/2015,Enclos-St-Laurent,Paris,2,80
9/8/2015,Vaugirard,Paris,2,52
5/31/2017,Gobelins,Paris,2,50
4/11/2019,Reuilly,Paris,2,67
4/10/2019,Popincourt,Paris,2,113
12/19/2013,Buttes-Chaumont,Paris,2,75
2/7/2013,Buttes-Montmartre,Paris,2,60
5/15/2014,Vaugirard,Paris,2,150
7/27/2016,Observatoire,Paris,2,65
8/20/2015,Buttes-Chaumont,Paris,2,55
7/10/2013,Popincourt,Paris,2,90
2/17/2014,Palais-Bourbon,Paris,2,150
6/10/2013,Vaugirard,Paris,2,100
6/30/2015,Enclos-St-Laurent,Paris,2,100
2/23/2019,Gobelins,Paris,2,110
8/5/2013,Enclos-St-Laurent,Paris,2,85
3/5/2013,Enclos-St-Laurent,Paris,2,100
3/6/2017,Buttes-Montmartre,Paris,2,87
7/11/2013,Passy,Paris,2,160
11/3/2015,Buttes-Montmartre,Paris,2,110
5/25/2015,Popincourt,Paris,2,102
8/5/2016,Pantheon,Paris,2,95
1/12/2014,Menilmontant,Paris,2,80
2/29/2012,Louvre,Paris,2,111
1/23/2013,Batignolles-Monceau,Paris,2,80
7/21/2013,Louvre,Paris,2,130
10/27/2013,Opera,Paris,2,75
12/7/2011,Batignolles-Monceau,Paris,2,65
6/29/2014,Popincourt,Paris,2,50
12/2/2014,Gobelins,Paris,2,80
4/18/2015,Popincourt,Paris,2,60
5/17/2015,Palais-Bourbon,Paris,2,99
5/21/2015,Opera,Paris,2,90
6/12/2015,Buttes-Montmartre,Paris,2,60
7/10/2015,Buttes-Chaumont,Paris,2,105
1/7/2016,Luxembourg,Paris,2,105
5/30/2016,Popincourt,Paris,2,50
6/4/2014,Luxembourg,Paris,2,164
5/12/2015,Batignolles-Monceau,Paris,2,50
11/12/2015,Reuilly,Paris,2,60
10/29/2013,Enclos-St-Laurent,Paris,2,80
6/29/2016,Luxembourg,Paris,2,100
9/10/2014,Hotel-de-Ville,Paris,2,100
6/23/2015,Buttes-Chaumont,Paris,2,80
9/15/2016,Pantheon,Paris,2,80
4/20/2018,Luxembourg,Paris,2,175
6/2/2014,Buttes-Montmartre,Paris,2,60
6/27/2018,Buttes-Chaumont,Paris,2,30
3/14/2014,Buttes-Montmartre,Paris,2,80
2/1/2015,Palais-Bourbon,Paris,2,119
9/11/2016,Buttes-Montmartre,Paris,2,79
6/10/2014,Batignolles-Monceau,Paris,2,50
3/29/2015,Opera,Paris,2,100
8/1/2015,Buttes-Montmartre,Paris,2,70
7/13/2018,Batignolles-Monceau,Paris,2,52
11/10/2013,Menilmontant,Paris,2,80
4/26/2014,Menilmontant,Paris,2,50
7/28/2015,Vaugirard,Paris,2,30
5/7/2014,Enclos-St-Laurent,Paris,2,60
1/31/2017,Buttes-Montmartre,Paris,2,75
9/4/2016,Enclos-St-Laurent,Paris,2,44
6/26/2014,Buttes-Montmartre,Paris,2,97
7/12/2016,Enclos-St-Laurent,Paris,2,90
1/26/2015,Temple,Paris,2,75
9/4/2013,Buttes-Chaumont,Paris,2,55
2/12/2015,Batignolles-Monceau,Paris,2,55
4/15/2014,Popincourt,Paris,2,150
3/5/2014,Buttes-Montmartre,Paris,2,60
7/24/2014,Observatoire,Paris,2,45
8/22/2013,Buttes-Montmartre,Paris,2,350
6/3/2016,Reuilly,Paris,2,78
12/25/2015,Vaugirard,Paris,2,80
7/18/2013,Buttes-Montmartre,Paris,2,149
3/9/2014,Buttes-Montmartre,Paris,2,90
4/16/2018,Pantheon,Paris,2,89
12/19/2013,Pantheon,Paris,2,70
2/11/2013,Buttes-Montmartre,Paris,2,75
4/3/2016,Enclos-St-Laurent,Paris,2,90
12/7/2019,Popincourt,Paris,2,125
4/5/2012,Luxembourg,Paris,2,73
9/15/2012,Enclos-St-Laurent,Paris,2,60
7/13/2013,Buttes-Chaumont,Paris,2,50
9/22/2013,Temple,Paris,2,70
6/11/2014,Buttes-Montmartre,Paris,2,135
6/17/2014,Reuilly,Paris,2,78
8/27/2013,Bourse,Paris,2,350
7/18/2014,Elysee,Paris,2,110
2/25/2015,Temple,Paris,2,85
11/5/2012,Buttes-Montmartre,Paris,2,65
3/15/2015,Vaugirard,Paris,2,79
1/9/2012,Batignolles-Monceau,Paris,2,50
3/30/2015,Popincourt,Paris,2,80
11/15/2013,Buttes-Montmartre,Paris,2,65
5/29/2013,Batignolles-Monceau,Paris,2,54
5/24/2015,Buttes-Montmartre,Paris,2,53
6/25/2013,Reuilly,Paris,2,120
6/10/2015,Reuilly,Paris,2,95
10/15/2012,Opera,Paris,2,60
3/10/2015,Reuilly,Paris,2,70
4/10/2012,Buttes-Chaumont,Paris,2,35
2/3/2013,Popincourt,Paris,2,71
7/17/2015,Pantheon,Paris,2,81
11/14/2012,Vaugirard,Paris,2,128
12/1/2014,Buttes-Montmartre,Paris,2,50
7/25/2012,Menilmontant,Paris,2,70
10/5/2014,Hotel-de-Ville,Paris,2,100
10/4/2014,Opera,Paris,2,70
4/23/2014,Popincourt,Paris,2,89
6/13/2015,Gobelins,Paris,2,45
5/1/2014,Buttes-Montmartre,Paris,2,50
7/12/2013,Observatoire,Paris,2,38
8/8/2011,Bourse,Paris,2,65
3/24/2016,Hotel-de-Ville,Paris,2,120
1/13/2014,Enclos-St-Laurent,Paris,2,140
9/6/2014,Popincourt,Paris,2,67
5/3/2016,Buttes-Chaumont,Paris,2,37
7/29/2015,Popincourt,Paris,2,55
10/20/2013,Popincourt,Paris,2,80
8/4/2015,Palais-Bourbon,Paris,2,70
6/23/2016,Luxembourg,Paris,2,45
8/19/2015,Pantheon,Paris,2,80
7/5/2016,Opera,Paris,2,105
6/12/2012,Temple,Paris,2,80
5/2/2014,Popincourt,Paris,2,55
6/11/2016,Buttes-Montmartre,Paris,2,107
4/22/2013,Buttes-Montmartre,Paris,2,60
2/27/2015,Observatoire,Paris,2,50
4/17/2015,Popincourt,Paris,2,75
12/31/2015,Popincourt,Paris,2,55
10/1/2013,Reuilly,Paris,2,160
7/20/2014,Popincourt,Paris,2,55
7/18/2014,Buttes-Chaumont,Paris,2,43
4/8/2017,Batignolles-Monceau,Paris,2,34
4/27/2017,Vaugirard,Paris,2,90
7/23/2014,Opera,Paris,2,79
10/21/2014,Buttes-Montmartre,Paris,2,80
7/5/2017,Popincourt,Paris,2,120
6/14/2016,Popincourt,Paris,2,80
11/14/2013,Batignolles-Monceau,Paris,2,120
3/2/2015,Buttes-Montmartre,Paris,2,120
8/14/2013,Temple,Paris,2,92
6/18/2015,Hotel-de-Ville,Paris,2,50
2/20/2014,Opera,Paris,2,100
10/21/2013,Batignolles-Monceau,Paris,2,85
7/11/2014,Observatoire,Paris,2,65
9/21/2013,Luxembourg,Paris,2,73
11/21/2017,Menilmontant,Paris,2,25
8/26/2013,Vaugirard,Paris,2,95
4/8/2014,Passy,Paris,2,44
10/17/2013,Batignolles-Monceau,Paris,2,100
6/22/2014,Buttes-Montmartre,Paris,2,70
2/2/2014,Vaugirard,Paris,2,160
8/20/2013,Louvre,Paris,2,120
1/11/2017,Buttes-Chaumont,Paris,2,90
5/1/2016,Buttes-Montmartre,Paris,2,55
6/21/2016,Popincourt,Paris,2,44
12/4/2015,Vaugirard,Paris,2,80
11/7/2014,Buttes-Montmartre,Paris,2,45
11/11/2013,Popincourt,Paris,2,90
6/22/2016,Palais-Bourbon,Paris,2,180
11/8/2013,Popincourt,Paris,2,75
4/15/2015,Buttes-Chaumont,Paris,2,36
11/10/2014,Temple,Paris,2,150
9/6/2010,Popincourt,Paris,2,75
8/6/2018,Reuilly,Paris,2,59
3/2/2013,Enclos-St-Laurent,Paris,2,69
5/29/2014,Popincourt,Paris,2,106
2/3/2014,Menilmontant,Paris,2,80
8/20/2014,Temple,Paris,2,92
9/14/2018,Opera,Paris,2,159
6/25/2014,Buttes-Montmartre,Paris,2,100
3/14/2018,Bourse,Paris,2,170
6/10/2012,Palais-Bourbon,Paris,2,130
11/28/2018,Opera,Paris,2,80
10/18/2015,Passy,Paris,2,85
7/4/2014,Passy,Paris,2,90
6/5/2016,Popincourt,Paris,2,60
3/5/2019,Buttes-Chaumont,Paris,2,80
2/10/2015,Buttes-Chaumont,Paris,2,67
5/20/2013,Buttes-Chaumont,Paris,2,90
5/1/2013,Menilmontant,Paris,2,79
10/10/2014,Batignolles-Monceau,Paris,2,153
3/29/2017,Popincourt,Paris,2,85
7/11/2014,Buttes-Montmartre,Paris,2,119
5/16/2019,Passy,Paris,2,130
12/15/2013,Buttes-Montmartre,Paris,2,50
4/18/2015,Vaugirard,Paris,2,120
12/11/2014,Buttes-Montmartre,Paris,2,60
12/27/2013,Enclos-St-Laurent,Paris,2,75
11/6/2012,Buttes-Montmartre,Paris,2,68
10/11/2011,Buttes-Chaumont,Paris,2,65
11/10/2014,Temple,Paris,2,140
7/1/2013,Menilmontant,Paris,2,55
7/8/2014,Buttes-Montmartre,Paris,2,90
8/7/2019,Pantheon,Paris,2,113
9/2/2016,Luxembourg,Paris,2,110
8/1/2011,Enclos-St-Laurent,Paris,2,103
7/13/2011,Menilmontant,Paris,2,35
8/5/2012,Buttes-Chaumont,Paris,2,60
8/27/2012,Popincourt,Paris,2,90
7/14/2013,Pantheon,Paris,2,105
4/8/2012,Pantheon,Paris,2,80
6/5/2013,Popincourt,Paris,2,99
9/19/2013,Hotel-de-Ville,Paris,2,140
4/24/2012,Menilmontant,Paris,2,120
3/10/2014,Batignolles-Monceau,Paris,2,80
3/17/2014,Temple,Paris,2,58
3/4/2014,Popincourt,Paris,2,89
11/17/2013,Temple,Paris,2,150
7/10/2014,Opera,Paris,2,135
3/29/2014,Temple,Paris,2,95
7/29/2014,Popincourt,Paris,2,130
2/10/2014,Passy,Paris,2,105
11/17/2014,Buttes-Montmartre,Paris,2,217
11/24/2014,Pantheon,Paris,2,68
4/10/2014,Batignolles-Monceau,Paris,2,168
1/11/2015,Pantheon,Paris,2,125
2/9/2015,Luxembourg,Paris,2,95
5/26/2013,Popincourt,Paris,2,90
6/15/2011,Vaugirard,Paris,2,75
4/15/2013,Opera,Paris,2,50
1/22/2015,Bourse,Paris,2,88
4/19/2014,Opera,Paris,2,110
4/25/2015,Passy,Paris,2,99
5/5/2013,Buttes-Montmartre,Paris,2,100
5/20/2015,Reuilly,Paris,2,75
2/17/2012,Enclos-St-Laurent,Paris,2,79
6/8/2014,Temple,Paris,2,30
12/14/2014,Reuilly,Paris,2,85
10/22/2014,Vaugirard,Paris,2,89
5/23/2015,Passy,Paris,2,200
7/9/2015,Luxembourg,Paris,2,70
5/28/2013,Popincourt,Paris,2,50
7/23/2015,Popincourt,Paris,2,25
5/18/2015,Vaugirard,Paris,2,91
10/5/2014,Buttes-Chaumont,Paris,2,143
11/27/2012,Enclos-St-Laurent,Paris,2,75
8/24/2015,Hotel-de-Ville,Paris,2,45
2/27/2014,Vaugirard,Paris,2,120
6/12/2014,Opera,Paris,2,70
10/4/2013,Enclos-St-Laurent,Paris,2,75
9/17/2014,Popincourt,Paris,2,69
10/12/2015,Buttes-Montmartre,Paris,2,90
4/28/2015,Popincourt,Paris,2,39
10/24/2015,Passy,Paris,2,71
3/24/2013,Enclos-St-Laurent,Paris,2,45
8/15/2014,Buttes-Montmartre,Paris,2,65
11/11/2015,Buttes-Chaumont,Paris,2,54
1/9/2013,Popincourt,Paris,2,52
1/4/2016,Temple,Paris,2,80
1/9/2016,Menilmontant,Paris,2,65
1/15/2016,Elysee,Paris,2,99
7/23/2014,Temple,Paris,2,89
12/21/2014,Enclos-St-Laurent,Paris,2,95
3/1/2016,Elysee,Paris,2,160
7/21/2015,Buttes-Montmartre,Paris,2,135
3/19/2016,Vaugirard,Paris,2,65
3/29/2016,Buttes-Montmartre,Paris,2,60
9/23/2014,Popincourt,Paris,2,130
3/30/2015,Pantheon,Paris,2,50
4/19/2016,Bourse,Paris,2,60
3/13/2016,Temple,Paris,2,90
2/1/2013,Popincourt,Paris,2,46
7/31/2013,Opera,Paris,2,60
6/19/2015,Vaugirard,Paris,2,48
11/19/2013,Enclos-St-Laurent,Paris,2,70
7/22/2016,Popincourt,Paris,2,41
7/30/2016,Popincourt,Paris,2,102
2/11/2016,Buttes-Montmartre,Paris,2,42
4/3/2014,Popincourt,Paris,2,60
5/7/2013,Observatoire,Paris,2,58
11/18/2016,Louvre,Paris,2,123
4/4/2015,Buttes-Chaumont,Paris,2,29
1/19/2016,Batignolles-Monceau,Paris,2,59
6/13/2017,Menilmontant,Paris,2,55
2/14/2017,Elysee,Paris,2,78
8/11/2012,Opera,Paris,2,60
6/10/2015,Luxembourg,Paris,2,75
6/8/2014,Passy,Paris,2,150
9/5/2017,Passy,Paris,2,134
2/13/2016,Menilmontant,Paris,2,69
9/19/2015,Reuilly,Paris,2,100
11/1/2015,Buttes-Montmartre,Paris,2,60
2/1/2016,Elysee,Paris,2,110
1/7/2018,Menilmontant,Paris,2,74
5/6/2015,Buttes-Montmartre,Paris,2,80
2/6/2014,Opera,Paris,2,100
11/13/2011,Popincourt,Paris,2,100
5/6/2013,Popincourt,Paris,2,55
5/31/2016,Opera,Paris,2,100
5/9/2012,Popincourt,Paris,2,100
6/30/2011,Popincourt,Paris,2,110
7/19/2018,Palais-Bourbon,Paris,2,70
8/4/2014,Buttes-Montmartre,Paris,2,125
3/15/2016,Observatoire,Paris,2,49
9/5/2018,Popincourt,Paris,2,100
3/16/2016,Popincourt,Paris,2,90
9/16/2015,Temple,Paris,2,77
1/21/2013,Buttes-Montmartre,Paris,2,100
12/4/2015,Vaugirard,Paris,2,50
6/29/2015,Batignolles-Monceau,Paris,2,66
9/27/2015,Buttes-Montmartre,Paris,2,80
5/2/2014,Popincourt,Paris,2,51
5/10/2012,Popincourt,Paris,2,65
3/3/2019,Popincourt,Paris,2,90
6/10/2016,Popincourt,Paris,2,70
3/16/2019,Gobelins,Paris,2,120
4/28/2012,Menilmontant,Paris,2,80
10/27/2015,Gobelins,Paris,2,80
1/5/2014,Buttes-Chaumont,Paris,2,50
7/1/2013,Buttes-Chaumont,Paris,2,100
6/13/2014,Buttes-Chaumont,Paris,2,130
3/22/2013,Palais-Bourbon,Paris,2,109
10/10/2013,Hotel-de-Ville,Paris,2,120
6/6/2014,Vaugirard,Paris,2,56
9/15/2014,Menilmontant,Paris,2,68
9/19/2015,Passy,Paris,2,90
5/30/2014,Elysee,Paris,2,100
11/24/2013,Enclos-St-Laurent,Paris,2,73
9/28/2015,Passy,Paris,2,117
4/25/2014,Gobelins,Paris,2,59
9/4/2013,Buttes-Montmartre,Paris,2,79
9/26/2015,Enclos-St-Laurent,Paris,2,70
7/21/2016,Menilmontant,Paris,2,70
6/17/2013,Buttes-Chaumont,Paris,2,55
2/24/2015,Buttes-Montmartre,Paris,2,75
12/29/2017,Elysee,Paris,2,85
6/28/2011,Buttes-Chaumont,Paris,2,60
6/30/2013,Palais-Bourbon,Paris,2,110
7/1/2013,Gobelins,Paris,2,68
3/23/2013,Louvre,Paris,2,110
7/26/2014,Opera,Paris,2,85
1/4/2015,Vaugirard,Paris,2,79
12/17/2012,Louvre,Paris,2,49
2/4/2015,Gobelins,Paris,2,55
6/28/2015,Vaugirard,Paris,2,80
7/6/2015,Popincourt,Paris,2,60
7/15/2015,Popincourt,Paris,2,45
1/27/2014,Reuilly,Paris,2,60
11/23/2015,Popincourt,Paris,2,59
3/11/2014,Vaugirard,Paris,2,121
9/14/2015,Buttes-Chaumont,Paris,2,55
10/29/2012,Buttes-Montmartre,Paris,2,60
8/3/2016,Menilmontant,Paris,2,65
4/18/2013,Palais-Bourbon,Paris,2,37
11/4/2015,Enclos-St-Laurent,Paris,2,150
1/13/2015,Popincourt,Paris,2,70
2/2/2015,Hotel-de-Ville,Paris,2,105
7/29/2016,Batignolles-Monceau,Paris,2,80
6/22/2013,Buttes-Chaumont,Paris,2,60
10/16/2016,Bourse,Paris,2,100
5/27/2015,Buttes-Montmartre,Paris,2,100
5/22/2016,Passy,Paris,2,115
1/22/2016,Buttes-Chaumont,Paris,2,59
2/14/2018,Buttes-Montmartre,Paris,2,90
8/25/2016,Buttes-Montmartre,Paris,2,55
7/4/2013,Popincourt,Paris,2,70
8/22/2013,Hotel-de-Ville,Paris,2,150
8/28/2014,Popincourt,Paris,2,55
3/31/2015,Reuilly,Paris,2,80
5/17/2015,Temple,Paris,2,103
1/22/2015,Buttes-Montmartre,Paris,2,61
6/28/2016,Batignolles-Monceau,Paris,2,90
11/14/2014,Reuilly,Paris,2,90
3/24/2013,Menilmontant,Paris,2,85
2/12/2014,Hotel-de-Ville,Paris,2,120
5/1/2018,Temple,Paris,2,140
12/30/2012,Observatoire,Paris,2,115
2/13/2013,Buttes-Montmartre,Paris,2,70
1/26/2016,Batignolles-Monceau,Paris,2,70
3/29/2015,Buttes-Montmartre,Paris,2,75
7/31/2017,Buttes-Chaumont,Paris,2,75
10/17/2014,Opera,Paris,2,122
6/28/2015,Temple,Paris,2,100
1/31/2019,Popincourt,Paris,2,140
2/15/2017,Buttes-Montmartre,Paris,2,65
4/1/2019,Passy,Paris,2,140
12/12/2013,Batignolles-Monceau,Paris,2,150
4/5/2014,Batignolles-Monceau,Paris,2,100
8/24/2015,Popincourt,Paris,2,110
8/16/2014,Louvre,Paris,2,153
5/14/2014,Enclos-St-Laurent,Paris,2,90
3/15/2015,Temple,Paris,2,100
9/26/2016,Buttes-Montmartre,Paris,2,46
4/30/2015,Vaugirard,Paris,2,40
4/23/2018,Bourse,Paris,2,60
10/7/2015,Pantheon,Paris,2,80
8/7/2013,Menilmontant,Paris,2,80
2/28/2013,Buttes-Montmartre,Paris,2,100
7/6/2014,Popincourt,Paris,2,90
11/19/2012,Louvre,Paris,2,120
8/1/2012,Enclos-St-Laurent,Paris,2,90
11/12/2014,Popincourt,Paris,2,55
7/17/2013,Popincourt,Paris,2,85
3/2/2014,Opera,Paris,2,53
12/4/2013,Temple,Paris,2,220
9/5/2013,Buttes-Montmartre,Paris,2,119
6/8/2020,Popincourt,Paris,2,90
1/22/2013,Luxembourg,Paris,2,90
4/10/2015,Passy,Paris,2,75
3/25/2011,Gobelins,Paris,2,69
4/29/2015,Observatoire,Paris,2,99
5/14/2013,Luxembourg,Paris,2,159
11/11/2014,Buttes-Montmartre,Paris,2,80
3/27/2014,Observatoire,Paris,2,60
8/3/2014,Buttes-Montmartre,Paris,2,50
7/21/2015,Reuilly,Paris,2,65
8/5/2014,Enclos-St-Laurent,Paris,2,45
